,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,land_surface,livable_surface,energy_consumption,number_of_bedrooms,number_of_bathrooms,elevator,garden,terrace,furnished,availability,province,street,street_number,garage,balcony
vbe36039,4.3751945,50.8469369,Rent,1395,Appartment,Flat,37194,1040,1913.0,Excellent,,45.0,,1.0,1.0,False,,4.0,True,Immediately,Brussels,Rue du Marteau,72.0,,
vbe36034,4.3099356,50.8636285,Rent,1050,Appartment,GroundFloor,40081,1080,,Excellent,,50.0,,1.0,1.0,False,50.0,15.0,False,Immediately,Brussels,Avenue Edouard Bénès,160.0,,
vbe36008,4.3759148,50.8457187,Rent,1085,Appartment,Flat,37194,1040,1901.0,Normal,,45.0,,1.0,1.0,False,,,True,Immediately,Brussels,Rue Philippe Le Bon,12.0,,
rbw24762,4.3333333,50.8,Rent,2650,Appartment,Flat,49237,1180,,Excellent,,200.0,,5.0,3.0,True,,10.0,False,On contract,Brussels,,,1.0,
vbe36062,4.3333333,50.8,Rent,1350,Appartment,Duplex,39905,1180,1970.0,Excellent,,63.0,8561.0,2.0,1.0,False,,,True,,Brussels,,,,
vbe36002,4.4127178,50.8578254,Rent,1595,House,House,27484,1140,,Normal,,138.0,21481.0,3.0,1.0,,,,,Immediately,Brussels,Avenue Léon Grosjean,19.0,,
vbe36060,4.3333333,50.8,Rent,1300,Appartment,Duplex,39905,1180,1970.0,Excellent,,63.0,8561.0,2.0,1.0,False,,,False,,Brussels,,,,
vbe35976,4.3766927,50.8235717,Rent,1660,Appartment,Flat,37194,1050,1869.0,Excellent,,91.0,,2.0,1.0,False,,,True,,Brussels,,,,
vbe35981,4.34986,50.85581,Rent,1540,Appartment,Flat,28126,1000,,New,,80.0,,2.0,,True,,5.0,False,From 01/07/2026,Brussels,Quai au Foin,37.0,,
vbe36044,4.3766927,50.8235717,Rent,1750,Appartment,Flat,40457,1050,,Normal,,92.0,13403.0,2.0,2.0,False,,,,,Brussels,,,,
vbe36065,4.3765505,50.8459488,Rent,1060,Appartment,FlatStudio,37194,1040,1890.0,Excellent,,30.0,,0.0,1.0,False,,,True,,Brussels,Rue Philippe Le bon,13.0,,
vbe36038,4.3550895,50.8442607,Rent,1900,Appartment,Penthouse,37194,1000,1960.0,Excellent,,91.0,,2.0,1.0,True,,10.0,False,,Brussels,Saint Jean,4.0,,
vbe36045,4.3545295,50.7959871,Rent,1790,Appartment,Flat,40457,1180,,Normal,,135.0,18415.0,3.0,2.0,True,,20.0,False,,Brussels,Rue François Folie,30.0,,
vbe36013,4.3766927,50.8235717,Rent,2100,Appartment,Flat,40044,1050,2006.0,,,91.0,,2.0,1.0,True,,10.0,False,From 01/07/2026,Brussels,,,,
vbe36057,4.3766927,50.8235717,Rent,1400,Appartment,Penthouse,39905,1050,1910.0,Excellent,,78.0,68128.0,2.0,1.0,False,,5.0,False,,Brussels,,,,
vbe36063,4.3402184,50.8301436,Rent,2140,Appartment,Flat,39905,1060,1958.0,Excellent,,137.0,24968.0,3.0,3.0,True,,32.0,False,,Brussels,,,,
vbe35977,4.3515499,50.8427501,Rent,2550,Appartment,Flat,37194,1000,2024.0,Excellent,,146.0,,3.0,1.0,True,,8.0,False,,Brussels,,,,
vbe36009,4.3515499,50.8427501,Rent,1350,Appartment,Flat,27214,1000,2013.0,Excellent,,89.0,9162.0,2.0,1.0,True,,7.0,True,Immediately,Brussels,,,1.0,
vbe35778,4.3766927,50.8235717,Rent,1100,Appartment,Flat,27212,1050,,,,50.0,,1.0,,False,,,False,Immediately,Brussels,,,,
vbe35900,4.4077782,50.8159937,Rent,770,Appartment,FlatStudio,40213,1160,2015.0,New,,45.0,,,,False,,,True,From 04/06/2026,Brussels,Rue Maurice Charlent,53.0,,
rbw24724,4.3554226,50.8411909,Rent,2800,Appartment,Loft,49242,1000,,Excellent,,248.0,,3.0,1.0,False,,,False,Immediately,Brussels,Rue Sainte-Anne,40.0,,
vbe35775,4.33307,50.80677,Rent,4000,House,House,33267,1180,,Excellent,,261.0,,5.0,1.0,,,,,From 31/08/2026,Brussels,RUE JOSEPH BENS,78.0,1.0,
vbe35869,4.3766927,50.8235717,Rent,1800,Appartment,Flat,46605,1050,1930.0,Excellent,,150.0,33312.0,2.0,1.0,True,,8.0,False,,Brussels,,,,
