longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,province,street,house_number,date_of_construction,availability,energy_consumption,balcony,land_surface,garden,number_of_garage,swimming_pool
4.0573135,50.5777389,Sale,275000,House,House,39494,7060,Normal,175,3,1,False,80,False,Hainaut,,,1905,,,,353,190,,
3.2418931,50.7457271,Sale,469000,House,House,47529,7700,,200,,,,,,Hainaut,Rue du Plavitout,150,,,,,1219,,,
3.3880367,50.6056059,Sale,189000,Appartment,Duplex,46633,7500,Excellent,115,1,1,,14,,Hainaut,,,2010,,,,,,,
3.85170352,50.44801004,Sale,249900,House,House,39376,7390,,119,3,,False,19,False,Hainaut,Rue Constant Menier,60,,,,,733,550,1,
3.3314663,50.699374,Sale,189000,House,House,47529,7740,,132,3,1,,,,Hainaut,,,,,,,,,,
3.3880367,50.6056059,Sale,449000,House,House,46633,7500,Normal,230,6,2,,50,,Hainaut,,,1918,,,,,70,,
3.774238,50.62867,Sale,240000,Appartment,Flat,27528,7800,Normal,130,2,1,True,,False,Hainaut,Rue de Pintamont,52,,,,,,,,
4.1645212,50.3244185,Sale,380000,House,House,33896,6567,,170,3,1,False,,False,Hainaut,,,,On contract,,,837,,1,
4.0418874,50.6947227,Sale,875000,House,Villa,40130,7850,Excellent,485,6,3,False,,False,Hainaut,,,1720,On contract,,,1168,,,True
3.7972735,50.4357061,Sale,240000,House,House,44163,7300,,177,3,1,,42,False,Hainaut,Rue du Moulin,22,,,67407,,170,,,
3.8506992,50.4050091,Sale,150000,House,House,38082,7340,New,150,3,2,,15,False,Hainaut,Rue de la Montagne au Soufre Colfontaine,,2026,On contract,,,150,100,,
4.141006,50.608334,Sale,255000,House,House,40670,7090,Fully renovated,147,3,1,False,20,False,Hainaut,,,1920,Immediately,56854,,247,40,,
3.8014149,50.4660131,Sale,250000,Appartment,Flat,43302,7333,Normal,77,2,1,True,7,,Hainaut,Rue de Tournai,83,2014,,4651,,,,,
3.219272,50.7459126,Sale,149000,House,House,44267,7700,To renovate,151,4,1,,,False,Hainaut,,,,On contract,51718,,223,95,,
3.4736321,50.567749,Sale,320000,House,House,38437,7643,,155,3,1,False,50,False,Hainaut,,,,,27847,,950,700,1,
4.58644,50.41114,Sale,420000,House,House,43302,6250,Excellent,158,4,1,False,32,,Hainaut,,,2024,,12724,,765,655,1,
